TIC,sector,filename,ebs_true,exo_true,flares_true,rot_true,ebs_pred,exo_pred,flares_pred,rot_pred
366972961,25,tess2020133194932-s0025-0000000366972961-0182-s_wt.npy,1.0,0.0,0.0,0.0,0.9926887,0.004412103,0.0015496551,0.00134947
349156098,31,tess2020294194027-s0031-0000000349156098-0198-s_wt.npy,1.0,0.0,0.0,0.0,0.8904345,0.08725922,0.013444864,0.008861411
139804406,1,tess2018206045859-s0001-0000000139804406-0120-s_wt.npy,0.0,0.0,1.0,0.0,0.007338514,0.0059218216,0.92653555,0.060204085
237913194,28,tess2020212050318-s0028-0000000237913194-0190-s_wt.npy,0.0,1.0,0.0,0.0,0.0040003746,0.9938851,0.001446339,0.0006682202
238123653,7,tess2019006130736-s0007-0000000238123653-0131-s_wt.npy,0.0,0.0,0.0,1.0,0.008049496,0.006662158,0.044507395,0.94078094
199709055,22,tess2020049080258-s0022-0000000199709055-0174-s_wt.npy,1.0,0.0,0.0,0.0,0.99870086,0.00087055995,0.00023768289,0.00019100761
70761819,2,tess2018234235059-s0002-0000000070761819-0121-s_wt.npy,0.0,0.0,1.0,0.0,0.02984549,0.41110784,0.53103185,0.028014854
308540614,8,tess2019032160000-s0008-0000000308540614-0136-s_wt.npy,0.0,0.0,0.0,1.0,0.00339394,0.0039820233,0.008288614,0.9843354
284348795,6,tess2018349182500-s0006-0000000284348795-0126-s_wt.npy,0.0,0.0,0.0,1.0,0.8847364,0.005225441,0.011332003,0.09870611
52019395,1,tess2018206045859-s0001-0000000052019395-0120-s_wt.npy,0.0,0.0,1.0,0.0,0.022486117,0.9320545,0.035097335,0.0103620235
1981303680,14,tess2019198215352-s0014-0000001981303680-0150-s_wt.npy,0.0,0.0,0.0,1.0,0.014857331,0.008033739,0.65803474,0.31907415
95660472,72,tess2023315124025-s0072-0000000095660472-0267-s_wt.npy,0.0,1.0,0.0,0.0,0.00028174144,0.9993237,0.00017696389,0.0002176612
411845789,17,tess2019279210107-s0017-0000000411845789-0161-s_wt.npy,0.0,0.0,0.0,1.0,0.0068968334,0.008386441,0.97597116,0.008745512
237339854,1,tess2018206045859-s0001-0000000237339854-0120-s_wt.npy,0.0,0.0,1.0,0.0,0.35659862,0.19256897,0.34555602,0.10527634
229940491,16,tess2019253231442-s0016-0000000229940491-0152-s_wt.npy,1.0,0.0,0.0,0.0,0.0006013529,0.99709725,0.0012083795,0.0010931192
349274787,1,tess2018206045859-s0001-0000000349274787-0120-s_wt.npy,0.0,0.0,0.0,1.0,0.0019398418,0.0025009231,0.006511151,0.98904806
339185356,14,tess2019198215352-s0014-0000000339185356-0150-s_wt.npy,1.0,0.0,0.0,0.0,0.998004,0.001424711,0.00031172353,0.0002596416
167554898,10,tess2019085135100-s0010-0000000167554898-0140-s_wt.npy,1.0,0.0,0.0,0.0,0.03067194,0.95325655,0.008450049,0.007621551
84339983,44,tess2021284114741-s0044-0000000084339983-0215-s_wt.npy,0.0,1.0,0.0,0.0,0.027837092,0.029163131,0.10563129,0.83736855
204376737,2,tess2018234235059-s0002-0000000204376737-0121-s_wt.npy,0.0,1.0,0.0,0.0,0.0022792509,0.9944048,0.0020010988,0.0013148161
